gene_family_id	R5-3	M.roreri	B.botryosum	R0301	P.striiformis	P.oryzae	U.maydis	R10-1	R.solani	P.placenta	R1-6-1	R1-8-2
GF_436	2	4	2	2	3	1	1	2	2	1	2	2
GF_437	0	0	24	0	0	0	0	0	0	0	0	0
GF_438	2	2	3	2	2	1	1	2	2	1	2	4
GF_439	3	1	1	3	1	1	1	3	3	1	3	3
GF_440	4	0	0	5	0	0	0	3	0	0	7	5
GF_441	3	3	1	1	0	3	0	3	4	0	3	3
GF_442	4	0	0	7	0	0	0	5	0	0	5	3
GF_443	0	0	0	4	0	0	0	10	0	0	3	7
GF_444	1	2	2	3	3	2	2	2	1	2	1	3
GF_445	0	24	0	0	0	0	0	0	0	0	0	0
GF_446	0	24	0	0	0	0	0	0	0	0	0	0
GF_447	0	22	1	0	0	0	0	0	0	1	0	0
GF_448	0	23	0	0	0	0	0	0	0	0	1	0
GF_449	2	3	1	2	0	7	2	2	3	0	1	1
GF_450	0	0	0	0	24	0	0	0	0	0	0	0
GF_451	0	0	0	0	24	0	0	0	0	0	0	0
GF_452	0	0	0	0	24	0	0	0	0	0	0	0
GF_453	2	2	2	1	2	2	2	2	2	2	3	2
GF_454	2	2	2	2	2	2	2	2	2	2	2	2
GF_455	0	0	0	0	0	0	0	0	0	24	0	0
GF_456	0	0	24	0	0	0	0	0	0	0	0	0
GF_457	0	14	0	0	2	2	2	0	0	3	0	0
GF_458	0	20	0	0	0	0	0	0	0	3	0	0
GF_459	1	3	5	2	0	1	1	1	1	5	1	2
GF_460	0	0	0	0	0	0	0	0	0	23	0	0
GF_461	0	0	0	0	0	0	0	0	0	23	0	0
GF_462	2	2	2	2	2	1	2	2	2	2	2	2
GF_463	2	2	2	2	1	2	2	2	2	2	2	2
GF_464	2	2	1	2	0	1	1	2	4	4	2	2
GF_465	0	2	17	0	0	0	0	0	0	4	0	0
GF_466	1	3	5	1	1	3	1	1	1	4	1	1
GF_467	0	1	6	0	11	1	1	0	0	3	0	0
GF_468	2	1	1	2	3	2	1	2	2	3	2	2
GF_469	3	3	2	3	0	1	0	3	2	0	3	3
